num,rt_a1_r1,rt_a1_r2,rt_a1_r3,rt_a1_r4,rt_a1_r5,rt_a1_r6,rt_a1_r7,rt_a1_r8,rt_a1_r9,rt_a1_r10,rt_a1_r11,rt_a1_r12,rt_a1_r13,rt_a1_r14,rt_a1_r15,rt_a1_r16,rt_a1_r17,rt_a1_r18,rt_a1_r19,rt_a1_r20,rt_a1_r21,rt_a1_r22,rt_a1_r23,rt_a1_r24,rt_a2_r1,rt_a2_r2,rt_a2_r3,rt_a2_r4,rt_a2_r5,rt_a2_r6,rt_a2_r7,rt_a2_r8,rt_a2_r9,rt_a2_r10,rt_a2_r11,rt_a2_r12,rt_a2_r13,rt_a2_r14,rt_a2_r15,rt_a2_r16,rt_a2_r17,rt_a2_r18,rt_a2_r19,rt_a2_r20,rt_a2_r21,rt_a2_r22,rt_a2_r23,rt_a2_r24,rt_a3_r1,rt_a3_r2,rt_a3_r3,rt_a3_r4,rt_a3_r5,rt_a3_r6,rt_a3_r7,rt_a3_r8,rt_a3_r9,rt_a3_r10,rt_a3_r11,rt_a3_r12,rt_a3_r13,rt_a3_r14,rt_a3_r15,rt_a3_r16,rt_a3_r17,rt_a3_r18,rt_a3_r19,rt_a3_r20,rt_a3_r21,rt_a3_r22,rt_a3_r23,rt_a3_r24
65,10587,2154,2144,4622,2953,2946,8331,4205,5531,2759,2635,2746,1445,2981,3393,2383,1886,8707,3743,4020,5175,2584,2499,7683,9695,4740,4979,2327,6119,9534,2688,4242,1370,1209,1207,1405,1531,2620,3788,4190,3553,2424,1834,2482,6863,8585,6426,5200,4480,2703,1914,2446,1634,1541,2622,1861,2103,2069,1517,4242,2564,2990,4719,2270,8105,2810,5766,4225,3719,1672,2115,2525
66,3502,1760,998,1713,1741,3342,4162,2077,2002,1977,2524,1579,2096,2929,1981,3368,2011,1229,1504,1688,1828,1538,2221,864,841,2534,4973,3619,920,4416,1204,8291,844,1657,4905,5072,2625,7419,3087,5574,2581,3333,2590,2922,7328,4869,6844,5913,3953,3348,3684,2804,3085,5851,7714,4804,5419,11524,3456,3632,2854,3842,2470,3409,3348,2323,1775,2417,4807,2451,2734,3945
67,5967,9432,3097,7036,4788,2901,2576,4458,12,1765,4901,2724,8371,6049,7891,3096,4216,4621,10704,4918,4514,7058,6633,6281,3829,4780,2577,1712,4741,1912,6197,2166,5058,4849,1679,3360,7181,1510,6146,6140,8548,4744,1936,1335,2825,5251,8448,7045,1325,5104,4018,1815,2375,4679,5860,5211,3385,4182,6334,3534,3836,6250,4656,8583,6059,10374,4359,10572,4841,2861,2457,5409
68,5737,1820,2019,4086,3527,2730,2270,3096,2755,2408,3517,3474,4332,1074,2339,2316,3975,1728,5188,3269,2689,1633,3294,4965,2984,1565,2228,3117,2304,3058,2043,1898,3531,3096,2386,2590,1915,1476,1179,2068,2768,2553,1688,2112,2312,3680,2156,3003,6208,1177,4381,8293,9875,1062,12,1103,2673,986,3147,4267,1151,2641,1246,4397,2464,1233,5737,2570,1362,1409,4342,3065
69,5259,2278,4904,1103,1165,1078,2474,1415,855,4490,1467,1128,6322,2777,2956,1360,841,1560,2285,2580,2203,4852,3398,3476,2360,1731,1334,1068,1081,999,947,856,858,1335,1143,1410,1606,2751,1065,1013,1105,1520,1405,941,895,992,1164,974,2913,2807,8053,2664,11924,4073,2360,3021,3223,1813,3614,1599,1438,1754,3531,1248,2375,3184,6975,2527,1266,4399,3033,2556
70,2405,1919,1639,2067,2822,1937,2025,2281,3930,2092,1686,2508,2620,2201,2227,2446,2195,2511,1716,1898,1916,2090,1904,2576,2863,1254,2326,4999,1099,1280,1524,1931,4535,1158,1296,1197,1368,1159,1394,1170,1431,1318,1381,5743,2169,1622,2634,2185,887,977,901,3002,871,1103,1121,1377,2432,889,1018,931,1623,1119,1063,1077,1003,1132,1255,1601,927,3240,912,3420
71,2810,1264,3460,2009,1339,4850,1398,1359,1594,1363,912,1365,5799,1875,1809,3907,5333,3782,1330,969,8363,8229,9289,1439,2071,2187,2406,2276,2477,2458,1526,3956,2728,2979,2980,5928,3979,4796,1752,1177,2850,1302,1733,1246,7737,7352,7025,4719,2551,1577,3837,3873,2796,1619,1484,1433,2699,1267,2068,2230,2658,4552,2353,2547,7831,2549,1732,2512,6161,2885,2050,1280
72,2656,4797,5505,12326,8754,7284,2830,4529,4273,4791,2476,3982,2810,2209,8134,3091,3690,3868,3305,1686,1883,5951,2361,5427,4684,2331,1153,3681,1726,995,6235,11092,3613,1804,1484,9879,803,2602,12,6593,5888,1028,6592,802,2599,2303,10756,1061,10381,12589,1644,1284,1880,2361,2090,6131,1439,2643,7343,5520,1856,5814,3276,1920,3601,2432,3326,2825,4393,4265,6279,937
73,5641,951,1314,2453,1184,1913,4121,1887,731,1172,2072,5638,1891,1267,4369,1034,1754,4275,966,2873,1852,932,3091,6968,1259,1329,1121,1215,1431,1252,980,1022,1188,992,920,1014,984,1235,1092,971,980,754,942,1225,1024,1022,1296,1159,4300,3533,3403,2563,2446,1844,4138,2377,2978,4531,5473,3377,2903,4241,6960,3229,5623,4078,4701,8732,11177,6641,3897,6058
74,8605,7193,7845,8283,2690,12087,3607,6134,1071,12862,5155,10177,4019,4357,4745,2313,1661,3057,3199,1792,7815,2954,2376,3165,3946,3328,4554,4847,7018,11007,6759,3178,6346,3508,9308,9150,4140,11125,8637,3803,5282,1878,9095,7155,10975,5647,5195,2033,897,3254,2023,1278,2502,2508,2603,5798,1817,1816,5136,4136,6198,1785,2770,2756,2343,3679,3317,5110,1885,3071,2729,2946
75,2456,5757,1700,1607,6920,12175,4686,5821,5502,2128,5702,4036,3565,5808,6252,2298,5257,8732,4963,4144,6188,6862,4608,1431,6611,3731,4445,9863,6548,4161,3980,4556,3955,6410,11436,5434,1401,2371,7543,9158,3438,5345,4851,2064,2739,4113,8728,2371,4284,8980,12776,6151,8760,6360,3303,3153,7188,3284,3125,12,2350,2751,6742,4992,10329,4738,2299,4033,2128,5721,3112,4579
