num,a_le,a1_r1,a1_r2,a1_r3,a1_r4,a1_r5,a1_r6,a1_r7,a1_r8,a1_r9,a1_r10,a1_r11,a1_r12,a1_r13,a1_r14,a1_r15,a1_r16,a1_r17,a1_r18,a1_r19,a1_r20,a1_r21,a1_r22,a1_r23,a1_r24,a2_r1,a2_r2,a2_r3,a2_r4,a2_r5,a2_r6,a2_r7,a2_r8,a2_r9,a2_r10,a2_r11,a2_r12,a2_r13,a2_r14,a2_r15,a2_r16,a2_r17,a2_r18,a2_r19,a2_r20,a2_r21,a2_r22,a2_r23,a2_r24,a3_r1,a3_r2,a3_r3,a3_r4,a3_r5,a3_r6,a3_r7,a3_r8,a3_r9,a3_r10,a3_r11,a3_r12,a3_r13,a3_r14,a3_r15,a3_r16,a3_r17,a3_r18,a3_r19,a3_r20,a3_r21,a3_r22,a3_r23,a3_r24
55,2,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,0,10
56,2,14,20,0,20,20,20,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,0,14,14,14,14,14,0,0,0,0,0,0,0,0,0,20,14,0,0,0,14,0,0,0,0,3,0,13,0,12,0,0,0,0,12,0,0,0,0,0,10,0,0,0,12,0,0,0,13
57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1,0,15,0,15,0,14,0,14,0,14,0,13,0,13,0,13,0,13,0,12,0,10,0,10,5,6,3,10,15,9,7,14,5,15,1,17,5,9,9,14,1,5,12,1,3,20,1,15,4,8,10,6,9,2,10,8,12,0,4,3,8,10,15,5,7,0,5,2,4,7,6,2
59,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,12,0,0,0,9,0,0,6,0,0,0,0,0,0,8,0,0,0,0,8,0,0,9,0,9,11,0,0,9,0,0
60,1,15,15,10,16,10,10,17,17,10,10,10,17,,,,,,,,,,,,,16,15,13,11,17,17,15,16,12,10,10,16,18,10,10,16,15,15,16,17,3,3,16,17,14,14,17,15,16,14,14,14,16,14,12,12,14,14,11,0,16,16,15,16,11,12,0,15
61,3,18,0,20,18,0,18,0,18,16,0,18,0,18,19,0,19,0,19,19,0,19,0,18,19,18,0,18,18,0,18,0,19,19,0,18,19,18,18,0,18,0,18,20,0,18,20,19,20,20,0,18,18,0,18,0,18,18,0,18,0,20,19,0,19,0,19,19,0,20,0,19,19
62,3,3,1,0,8,0,0,0,0,0,0,0,9,1,0,0,11,1,0,0,0,1,9,1,1,0,0,0,8,0,1,0,0,0,0,0,10,0,1,0,9,0,1,0,0,0,11,0,1,0,0,1,8,0,0,0,0,0,0,1,10,0,0,1,8,0,0,0,0,1,10,0,0
63,2,10,0,0,0,8,0,0,8,0,0,0,0,0,0,0,8,9,0,8,0,0,0,16,0,10,0,0,0,9,0,0,8,3,0,0,0,0,0,0,0,0,0,8,0,0,1,8,0,10,0,0,0,8,0,8,8,0,0,0,0,0,0,0,9,0,0,9,9,0,0,9,0
64,3,0,0,0,0,5,0,0,10,10,0,0,10,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,9,9,0,0,10,11,0,0,7,7,0,5,0,7,3,5,0,0,0,6,0,0,0,0,5,10,11,15,10,12,0,0,0,0,15,12,15,15,10,0,15,12,0,0,0
